"1. Statement of Consent

I understand that my participation is voluntary and that my responses will be kept confidential. I agree to participate in this research study.",Role,Experience,Project_Sector,Payment_Delay,Cost_Estimation_Error,Material_Cost_Escalation,Design_Ambiguity,Poor_Workmanship,Site_Conditions,Leadership_Issues,Trust_Deficit,Unrealistic_Expectations,Contract_Ambiguity,Contract_Rigidity,Trigger_Event,Conflict_Progression,Hidden_Factors,Conflict_Severity,Additional_Comments
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Residential,,,,,,,,,,,,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Student ,0-5 years,Residential,,,,,,,,,,,,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Client / Developer,0-5 years,Residential,,,,,,,,,,,,Division of work,Yes,Yes,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential;Commercial / Office;Industrial,,,,,,,,,,,,"Delayed Deliverables such as drawings, Estimates, cost control reports, etc",No,"Poor communication as lot of stakeholders were involved, getting an approval from everyone was not an easy task",Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Client / Developer,0-5 years,"Residential;Commercial / Office;Infrastructure (Roads, Bridges, etc.)",,,,,,,,,,,,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential,,,,,,,,,,,,Site meeting about delays,Loss of trust ,Lack of transparency ,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Project Manager / Engineer,6-10 years,Residential,,,,,,,,,,,,,,,Low / None: Minor disagreements resolved easily; no impact on project goals.,
"Yes, I agree to participate.",Project Manager / Engineer,11-15 years,Residential;Commercial / Office,,,,,,,,,,,,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential,,,,,,,,,,,,,,,Low / None: Minor disagreements resolved easily; no impact on project goals.,
"Yes, I agree to participate.",Project Manager / Engineer,More than 15 years,Residential,,,,,,,,,,,,,,,Low / None: Minor disagreements resolved easily; no impact on project goals.,
"Yes, I agree to participate.","Expert witness, forensic claim analysis ",More than 15 years,"Commercial / Office;Infrastructure (Roads, Bridges, etc.);Industrial;Process, Energy, environmental",,,,,,,,,,,,Unexpected Notification from the contractor on the increase in the structural price because of alleged delay by Owner in approval of structural steel shop drawings ,It was a Financial issue triggered by subcontractor’s escalated quote on structural material to the contractor and in turned the contractor blamed this issue on the owner by cooking up unsubstantiated delay in shop drawings which had no bearing on the cobtractor’s ability to issue P.O/mill order on structural steel to the subcontractor ,No,"High / Critical: Major disputes leading to arbitration, litigation, significant delays, or project suspension.",The contractor’s claim went into protracted litigation and was eventually settled before the trial in favor of the owner  
"Yes, I agree to participate.",Contractor / Subcontractor,More than 15 years,"Residential;Commercial / Office;Infrastructure (Roads, Bridges, etc.);Industrial",,,,,,,,,,,,,,,"High / Critical: Major disputes leading to arbitration, litigation, significant delays, or project suspension.",
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential,,,,,,,,,,,,"That meeting changed the tone from “payment coordination” to “performance blame”.
From that point onward, discussions were no longer solution-oriented but trust-defensive, and the conflict began escalating.","A financial issue gradually turned into a trust issue, then into a productivity issue, and finally into a project delay issue.","What began as a solvable financial/technical issue became difficult to resolve due to human behavior, communication gaps, and loss of professional trust.",Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,
"Yes, I agree to participate.",Contractor / Subcontractor,11-15 years,Industrial,,,,,,,,,,,,A delay notice from contractor led to a heated discussion with the consultant.,2,3,4,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,11-15 years,Industrial,,,,,,,,,,,,A subcontractor raised a complaint about unpaid invoices.,2,3,4,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Client / Owner Representative,21+ years,Industrial,,,,,,,,,,,,A delay notice from contractor led to a heated discussion with the consultant.,4,3,4,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Commercial,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,2,3,4,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,0-5 years,Industrial,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,3,2,5,Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Industrial,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,3,3,5,AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Client / Owner Representative,21+ years,Infrastructure,,,,,,,,,,,,Dispute started when revised drawings were issued late affecting the schedule.,2,4,4,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Contractor / Subcontractor,11-15 years,Commercial,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,5,5,5,Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Residential,,,,,,,,,,,,,4,2,4,
